l,a,b,p,v,label
13.2036,7.07865,0.0538666,5.169356,0.0791922431,knife
76.761,7.25579,-23.3458,5.169356,0.0791922431,drawer
86.3209,3.59265,-13.3743,5.169356,0.0791922431,drawer
76.0397,7.07486,-20.3938,5.169356,0.0791922431,drawer
85.8871,3.52358,-7.9887,5.169356,0.0791922431,drawer
72.8825,6.7368,-15.9837,5.169356,0.0791922431,drawer
76.3398,7.00155,-20.0025,5.169356,0.0791922431,drawer
49.8869,5.09811,-12.0075,5.169356,0.0791922431,stove
86.7872,3.41061,-6.53717,5.169356,0.0791922431,stove
36.5056,5.19184,-4.1091,5.169356,0.0791922431,stove
85.5491,4.70722,-13.5717,5.169356,0.0791922431,stove
87.3912,0.950985,-8.89249,5.169356,0.0791922431,stove
40.8405,-13.6044,28.6469,5.169356,0.0791922431,repellent
43.7953,-26.349,17.9967,5.169356,0.0791922431,repellent
54.3544,5.62131,-8.21786,5.169356,0.0791922431,stove
47.1269,5.75649,-12.5595,5.169356,0.0791922431,stove
40.3389,-33.4721,26.7391,5.169356,0.0791922431,repellent
91.5872,0.716822,-6.58799,5.169356,0.0791922431,stove
71.2296,7.6652,-18.5068,5.169356,0.0791922431,stove
77.2931,4.43963,-6.56694,5.169356,0.0791922431,stove
15.8155,10.2964,14.2479,5.169356,0.0791922431,burner
19.4257,7.81585,0.904238,5.169356,0.0791922431,burner
48.7317,-29.5849,41.2296,5.169356,0.0791922431,repellent
60.0852,-21.5307,14.8218,5.169356,0.0791922431,repellent
26.3024,36.2313,-54.5177,5.169356,0.0791922431,sunblock
55.6119,34.7201,32.9904,5.169356,0.0791922431,sunblock
74.3299,29.953,20.7365,5.169356,0.0791922431,sunblock
