l,a,b,x,y,z,label
27.4578,36.2461,11.8944,0.0063011,0.00656171,0.00876594,brush
51.0225,9.84397,0.959591,0.0063011,0.00656171,0.00876594,burner
79.2417,2.6551,-12.3099,0.0063011,0.00656171,0.00876594,poncho
16.2963,20.278,0.29548,0.0063011,0.00656171,0.00876594,pouch
32.4933,45.0103,9.98397,0.0063011,0.00656171,0.00876594,pouch
25.9449,7.01735,6.35631,0.00383519,0.0063011,0.00656171,lamp
47.6151,57.3985,10.0528,0.00383519,0.0063011,0.00656171,pouch
14.6644,7.83702,-2.22178,0.00383519,0.0063011,0.00656171,lamp
55.9034,10.6905,-31.8358,0.00383519,0.0063011,0.00656171,poncho
17.0302,24.7313,17.5499,0.00383519,0.0063011,0.00656171,lamp
49.3274,58.2519,10.1994,0.00383519,0.0063011,0.00656171,pouch
93.4491,0.492722,-4.60278,0.00383519,0.0063011,0.00656171,drawer
7.39643,3.50154,-1.30625,0.00383519,0.0063011,0.00656171,bag
81.7515,2.69204,-13.5389,0.00383519,0.0063011,0.00656171,drawer
11.744,5.7689,1.8557,0.00383519,0.0063011,0.00656171,knife
